image_path,true_label,predicted_label,predicted_probability,blur_score
data\cifake\test\REAL\0040.jpg,0,1,0.5980175733566284,1896.8568725585938
data\cifake\test\REAL\0065 (2).jpg,0,1,0.5902061462402344,3066.077612876892
data\cifake\test\REAL\0104.jpg,0,1,0.5810791254043579,1158.1997365951538
data\cifake\test\REAL\0129 (10).jpg,0,1,0.5604258179664612,2325.0297842025757
data\cifake\test\REAL\0148.jpg,0,1,0.5640823245048523,1949.572738647461
data\cifake\test\REAL\0167.jpg,0,1,0.5189493894577026,1415.7792358398438
data\cifake\test\REAL\0183 (3).jpg,0,1,0.6540101170539856,2129.5580282211304
data\cifake\test\REAL\0234 (10).jpg,0,1,0.7308310866355896,5375.755362510681
data\cifake\test\REAL\0325 (9).jpg,0,1,0.6688687205314636,1826.5919036865234
data\cifake\test\REAL\0350 (3).jpg,0,1,0.8928365111351013,2516.6543493270874
data\cifake\test\REAL\0375 (3).jpg,0,1,0.5194079279899597,2100.521643638611
data\cifake\test\REAL\0409 (3).jpg,0,1,0.5231783390045166,6502.173202514648
data\cifake\test\REAL\0467 (4).jpg,0,1,0.5098395943641663,4002.1677207946777
data\cifake\test\REAL\0510 (8).jpg,0,1,0.5166539549827576,3755.3341636657715
data\cifake\test\REAL\0620.jpg,0,1,0.5338425636291504,961.6531591415405
data\cifake\test\REAL\0666.jpg,0,1,0.6071195006370544,1719.994215965271
data\cifake\test\REAL\0693.jpg,0,1,0.5423264503479004,906.1536712646484
data\cifake\test\REAL\0701.jpg,0,1,0.5001055002212524,2241.7496910095215
data\cifake\test\REAL\0706 (3).jpg,0,1,0.5642032027244568,3701.1297569274902
data\cifake\test\REAL\0757.jpg,0,1,0.5899656414985657,796.9287109375
data\cifake\test\REAL\0774.jpg,0,1,0.7170262336730957,3054.4318504333496
data\cifake\test\REAL\0847.jpg,0,1,0.5819882750511169,5601.296813964844
data\cifake\test\REAL\0883 (10).jpg,0,1,0.5867114663124084,1946.5001792907715
data\cifake\test\REAL\0883 (8).jpg,0,1,0.6357523798942566,1034.0705938339233
data\cifake\test\REAL\0919 (6).jpg,0,1,0.6385654211044312,1298.7436895370483
data\cifake\test\REAL\0929 (3).jpg,0,1,0.5756290555000305,1792.87167263031
data\cifake\test\REAL\0964 (2).jpg,0,1,0.7841413617134094,3794.4976110458374
data\cifake\test\REAL\0967 (5).jpg,0,1,0.7642580270767212,3376.4693565368652
data\cifake\test\REAL\0974.jpg,0,1,0.6377983689308167,1102.3620977401733
data\cifake\test\REAL\0998 (10).jpg,0,1,0.723401665687561,5022.124419212341
data\cifake\test\FAKE\102 (9).jpg,1,0,0.3246033191680908,1082.6171264648438
data\cifake\test\FAKE\109 (9).jpg,1,0,0.4868505895137787,2562.7883443832397
data\cifake\test\FAKE\134 (10).jpg,1,0,0.3685286343097687,3468.8231649398804
data\cifake\test\FAKE\139 (3).jpg,1,0,0.37796223163604736,514.8678045272827
data\cifake\test\FAKE\236 (10).jpg,1,0,0.42596107721328735,5878.866149902344
data\cifake\test\FAKE\301 (8).jpg,1,0,0.30081707239151,1924.5722799301147
data\cifake\test\FAKE\315 (5).jpg,1,0,0.19258266687393188,875.6603851318359
data\cifake\test\FAKE\326 (3).jpg,1,0,0.391874760389328,259.53314208984375
data\cifake\test\FAKE\379 (5).jpg,1,0,0.47840505838394165,1731.5836248397827
data\cifake\test\FAKE\383 (5).jpg,1,0,0.4174916446208954,2238.917568206787
data\cifake\test\FAKE\392 (3).jpg,1,0,0.4711307883262634,670.353346824646
data\cifake\test\FAKE\402 (9).jpg,1,0,0.385543555021286,1198.2521629333496
data\cifake\test\FAKE\459 (3).jpg,1,0,0.3217794597148895,5195.480224609375
data\cifake\test\FAKE\466 (9).jpg,1,0,0.4182280898094177,1841.3223791122437
data\cifake\test\FAKE\51 (4).jpg,1,0,0.20447668433189392,4916.270140647888
data\cifake\test\FAKE\521 (10).jpg,1,0,0.4659927785396576,4850.750601768494
data\cifake\test\FAKE\546 (9).jpg,1,0,0.4165228307247162,1708.4761266708374
data\cifake\test\FAKE\561 (8).jpg,1,0,0.4549824595451355,3424.5483055114746
data\cifake\test\FAKE\594 (3).jpg,1,0,0.37953731417655945,2269.8389739990234
data\cifake\test\FAKE\603 (8).jpg,1,0,0.4323371350765228,2439.6463232040405
data\cifake\test\FAKE\636 (5).jpg,1,0,0.28025656938552856,1433.995849609375
data\cifake\test\FAKE\66 (3).jpg,1,0,0.4889530837535858,1023.8199758529663
data\cifake\test\FAKE\686 (9).jpg,1,0,0.4558947682380676,2418.9153900146484
data\cifake\test\FAKE\695 (5).jpg,1,0,0.2621556222438812,1326.4239492416382
data\cifake\test\FAKE\732 (4).jpg,1,0,0.49513646960258484,7302.366026878357
data\cifake\test\FAKE\784 (9).jpg,1,0,0.49497267603874207,1710.821762084961
data\cifake\test\FAKE\827.jpg,1,0,0.4600156545639038,662.6996917724609
data\cifake\test\FAKE\844 (9).jpg,1,0,0.3670039474964142,991.0132055282593
data\cifake\test\FAKE\852.jpg,1,0,0.4811457693576813,1902.1277379989624
data\cifake\test\FAKE\920 (3).jpg,1,0,0.3088850677013397,487.54079818725586
data\cifake\test\FAKE\924 (4).jpg,1,0,0.3315523862838745,7285.665259361267
data\cifake\test\FAKE\955 (3).jpg,1,0,0.21054202318191528,536.1808462142944
data\cifake\test\FAKE\979 (5).jpg,1,0,0.3515249788761139,4404.77331161499
data\cifake\test\FAKE\989 (4).jpg,1,0,0.4976913630962372,5907.596175193787
